tweet_original,puntaje_positivo,puntaje_negativo,categoria_original,resultado_de_inferencia,tiempo_de_ejecucion (ms)
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,0.0,0.0,neutral,neutral,0.0724000856
i am furious with time warner and their phone promotions,0.0,0.3,negativo,neutral,0.0642000232
just got home from chick fil a with the boys damn my internets down stupid time warner,0.0,0.3,negativo,neutral,0.0634000171
could time warner cable suck more no,0.0,0.5,negativo,negativo,0.0614998862
pissed at time warner for causin me to have slow internet problems,0.0,0.4,negativo,negativo,0.0667998102
ummm having some time warner problems,0.0,0.4,negativo,negativo,0.0664999243
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment,0.1,0.2,negativo,neutral,0.1281001605
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside,0.0,0.1,negativo,neutral,0.1077998895
rt new time warner slogan time warner where we make you long for the days before cable,0.0,0.0,neutral,neutral,0.0846001785
confirmed it s time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon,0.0,0.1,negativo,neutral,0.0723002013
time warner epic fail,0.0,0.5,negativo,negativo,0.0656999182
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm,0.0,0.2,negativo,neutral,0.0664000399
gm files bankruptcy not a good sign,0.0,0.3,negativo,neutral,0.0654999167
yankees won mets lost its a good day,0.5,0.2,positivo,neutral,0.0654000323
my dentist appt today was actually quite enjoyable,0.3,0.0,positivo,neutral,0.065199798
i hate the effing dentist,0.0,0.6,negativo,negativo,0.0654999167
i hate going to the dentist,0.0,0.5,negativo,negativo,0.062200008
i hate the dentist who invented them anyways,0.0,0.4,negativo,negativo,0.0664999243
this dentist s office is cold,0.0,0.0,neutral,neutral,0.1008999534
just applied at safeway yeeeee,0.0,0.0,neutral,neutral,0.0754999928
safeway place is a nightmare right now bumming,0.0,0.0,neutral,neutral,0.0729998574
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt,0.1,0.3,negativo,neutral,0.0643001404
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond,0.3,0.0,positivo,neutral,0.0652000308
have you tried nike v addictive,0.0,0.0,neutral,neutral,0.0717998482
the nike training club beta iphone app looks very interesting,0.2,0.0,positivo,neutral,0.0751002226
argghhhh why won t my jquery appear in safari bad safari,0.2,0.2,positivo,neutral,0.0650000293
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,0.3,0.2,positivo,neutral,0.0632000156
super investors a great weekend read here from warren buffet oldie but a goodie,0.3,0.0,positivo,neutral,0.0654000323
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio,0.3,0.0,positivo,neutral,0.0650999136
i mean i m down with notre dame if i have to it s a good school i d be closer to dan i d enjoy it,0.3,0.0,positivo,neutral,0.0650000293
i can t watch tv without a tivo and after all these years the time warner dvr still sucks,0.0,0.1,negativo,neutral,0.0692999456
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,0.3,0.0,positivo,neutral,0.0644999091
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,0.2,0.1,positivo,neutral,0.0662999228
i love my kindle no more stacks of books to trip over on the way to the loo,0.2,0.1,positivo,neutral,0.0706999563
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more,0.2,0.2,positivo,neutral,0.0645001419
its not so much my obsession with cell phones but the iphone i m a slave to at amp t forever because of it,0.0,0.1,negativo,neutral,0.074399868
fuzzball is more fun than at amp t p,0.4,0.0,positivo,neutral,0.0687001739
today is a good day to dislike at amp t vote out of office indeed,0.2,0.2,positivo,neutral,0.0638000201
got my wave sandbox invite extra excited too bad i have class now but i ll play with it soon enough io wave,0.2,0.1,positivo,neutral,0.0648999121
looks like summize has gone down too many tweets from wwdc perhaps,0.2,0.0,positivo,neutral,0.0666999258
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,0.7,0.0,positivo,positivo,0.0591001008
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,0.2,0.1,positivo,neutral,0.0662999228
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,0.3,0.0,positivo,neutral,0.0654000323
the kindle seems the best ereader but will it work in the uk and where can i get one,0.1,0.0,positivo,neutral,0.0702000689
i have a google addiction thank you for pointing that out hahaha,0.4,0.0,positivo,neutral,0.067200046
dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me,0.3,0.2,positivo,neutral,0.0845999457
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,0.3,0.0,positivo,neutral,0.0674999319
gonna go see bobby flay moro at shoreline eat and drink gonna be good,0.2,0.0,positivo,neutral,0.0664999243
can t wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,0.4,0.0,positivo,neutral,0.0682000536
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,0.1,0.1,positivo,neutral,0.0696000643
fighting with latex again,0.0,0.5,negativo,negativo,0.0617001206
we love you too and don t want you to die latex the devil,0.2,0.4,negativo,neutral,0.063699903
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i can t take any more,0.1,0.1,negativo,neutral,0.068699941
shit s hitting the fan in iran craziness indeed iranelection,0.2,0.4,negativo,neutral,0.0638999045
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,0.4,0.1,positivo,neutral,0.0680000521
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,0.4,0.0,positivo,neutral,0.0784001313
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,0.4,0.0,positivo,neutral,0.0702999532
i just created my first latex file from scratch that didn t work out very well see it s a great time waster,0.3,0.0,positivo,neutral,0.0658000354
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,0.3,0.0,positivo,neutral,0.0654000323
after using latex a lot any other typeset mathematics just looks hideous,0.0,0.0,neutral,neutral,0.0726000872
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,0.0,0.5,negativo,negativo,0.0612998847
ahhh back in a real text editing environment i lt latex,0.0,0.0,neutral,neutral,0.0722999685
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,0.0,0.2,negativo,neutral,0.0651001465
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,0.0,0.4,negativo,negativo,0.0660000369
